Program "PAW_quantitative_report.py" run on Tue Aug 30 08:10:49 2016

	=SUBTOTAL(109,B5:B6278)														Total	Total	Total	Total	Total	Total	Total	Total	Total	Total	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected
86	1	REV_O94986	 	 	 	 	reversed	8.3	1710	195624	REVERSED.	8	8	1.000	3	1	0	1	1	0	1	1	0	0	3	1	0	1	1	0	1	1	0	0	3.000	1.000	0.000	1.000	1.000	0.000	1.000	1.000	0.000	0.000
87	1	REV_O95171	 	 	 	 	reversed	4.8	688	77551	REVERSED.	10	10	1.000	1	2	0	0	0	2	2	3	0	0	1	2	0	0	0	2	2	3	0	0	1.000	2.000	0.000	0.000	0.000	2.000	2.000	3.000	0.000	0.000
88	1	REV_O95219	 	 	 	 	reversed	10.4	450	51908	REVERSED.	9	9	1.000	1	2	0	3	0	0	1	1	1	0	1	2	0	3	0	0	1	1	1	0	1.000	2.000	0.000	3.000	0.000	0.000	1.000	1.000	1.000	0.000
89	1	REV_O95248	 	 	 	 	reversed	4.1	1867	208313	REVERSED.	13	13	1.000	2	0	2	1	2	1	0	0	1	4	2	0	2	1	2	1	0	0	1	4	2.000	0.000	2.000	1.000	2.000	1.000	0.000	0.000	1.000	4.000
90	1	REV_O95294	 	 	 	 	reversed	3.7	804	90015	REVERSED.	6	6	1.000	0	0	0	1	0	1	0	1	1	2	0	0	0	1	0	1	0	1	1	2	0.000	0.000	0.000	1.000	0.000	1.000	0.000	1.000	1.000	2.000
91	1	REV_O95359	 	 	 	 	reversed	4.4	2948	309424	REVERSED.	5	5	1.000	0	0	0	0	2	0	0	1	2	0	0	0	0	0	2	0	0	1	2	0	0.000	0.000	0.000	0.000	2.000	0.000	0.000	1.000	2.000	0.000
92	1	REV_O95425	 	 	 	 	reversed	4.9	2214	247744	REVERSED.	8	8	1.000	0	2	0	1	3	0	2	0	0	0	0	2	0	1	3	0	2	0	0	0	0.000	2.000	0.000	1.000	3.000	0.000	2.000	0.000	0.000	0.000
93	1	REV_O95466	 	 	 	 	reversed	4.9	1100	121852	REVERSED.	2	2	1.000	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
94	1	REV_O95613	 	 	 	 	reversed	1.9	3336	378033	REVERSED.	6	6	1.000	0	1	2	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	2	1	0.000	1.000	2.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000
95	1	REV_O95789	 	 	 	 	reversed	2.6	1325	148087	REVERSED.	2	2	1.000	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
96	1	REV_O95819	 	 	 	 	reversed	4.2	1239	142099	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000
97	1	REV_O95995	 	 	 	 	reversed	11.1	478	56355	REVERSED.	4	4	1.000	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	2	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	2.000
98	1	REV_O95996	 	 	 	 	reversed	2.8	2303	243946	REVERSED.	11	11	1.000	1	1	1	0	1	1	1	2	1	2	1	1	1	0	1	1	1	2	1	2	1.000	1.000	1.000	0.000	1.000	1.000	1.000	2.000	1.000	2.000
99	1	REV_P04280	 	 	 	 	reversed	27.8	392	38545	REVERSED.	19	19	1.000	8	6	0	0	0	2	2	0	1	0	8	6	0	0	0	2	2	0	1	0	8.000	6.000	0.000	0.000	0.000	2.000	2.000	0.000	1.000	0.000
100	1	REV_P07814	 	 	 	 	reversed	6.4	1512	170589	REVERSED.	5	5	1.000	1	0	3	1	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1.000	0.000	3.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
101	1	REV_P09012	 	 	 	 	reversed	10.3	282	31279	REVERSED.	4	4	1.000	0	1	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0.000	1.000	0.000	0.000	2.000	0.000	0.000	1.000	0.000	0.000
102	1	REV_P0C7M7	 	 	 	 	reversed	4.1	580	65702	REVERSED.	11	11	1.000	0	0	1	2	1	0	1	3	3	0	0	0	1	2	1	0	1	3	3	0	0.000	0.000	1.000	2.000	1.000	0.000	1.000	3.000	3.000	0.000
103	1	REV_P11137	 	 	 	 	reversed	3.8	1827	199524	REVERSED.	4	4	1.000	0	0	2	0	1	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0.000	0.000	2.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000
104	1	REV_P11532	 	 	 	 	reversed	3.1	3685	426745	REVERSED.	7	7	1.000	2	0	0	0	2	1	0	1	1	0	2	0	0	0	2	1	0	1	1	0	2.000	0.000	0.000	0.000	2.000	1.000	0.000	1.000	1.000	0.000
105	1	REV_P12107	 	 	REV_P12107, REV_P20908	 	reversed	5.3	1806	181063	REVERSED.	4	3	0.750	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0.000	0.500	0.000	1.000	0.000	0.000	2.000	0.000	0.000	0.000
106	1	REV_P12110	 	 	 	 	reversed	2.6	1019	108578	REVERSED.	2	2	1.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000
107	1	REV_P12111	 	 	 	 	reversed	4.2	3177	343665	REVERSED.	7	7	1.000	0	0	0	1	1	1	1	0	3	0	0	0	0	1	1	1	1	0	3	0	0.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	3.000	0.000
108	1	REV_P12270	 	 	 	 	reversed	2.4	2363	267290	REVERSED.	7	7	1.000	1	1	0	0	0	0	3	1	0	1	1	1	0	0	0	0	3	1	0	1	1.000	1.000	0.000	0.000	0.000	0.000	3.000	1.000	0.000	1.000
109	1	REV_P12882	 	 	REV_P12882, REV_Q9UKX3	 	reversed	3.8	1939	223143	REVERSED.	5	1	0.200	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.000	2.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.500
110	1	REV_P13611	 	 	 	 	reversed	3.0	3396	372816	REVERSED.	7	7	1.000	1	2	1	0	0	1	1	0	1	0	1	2	1	0	0	1	1	0	1	0	1.000	2.000	1.000	0.000	0.000	1.000	1.000	0.000	1.000	0.000
111	1	REV_P15923	 	 	 	 	reversed	6.7	654	67600	REVERSED.	3	3	1.000	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0.000	1.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
112	1	REV_P15924	 	 	 	 	reversed	2.1	2871	331770	REVERSED.	4	4	1.000	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	1	0	0	2	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	2.000
113	1	REV_P18054	 	 	REV_P18054, sp|O75976|CBPD_HUMAN	 	reversed	3.3	663	75693	REVERSED.	5	1	0.200	2	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
114	1	REV_P18206	 	 	 	 	reversed	5.2	1134	123798	REVERSED.	3	3	1.000	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0.000	1.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000
115	1	REV_P20908	 	 	REV_P12107, REV_P20908	 	reversed	3.4	1838	183558	REVERSED.	4	3	0.750	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0.000	0.500	2.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000
116	1	REV_P20929	 	 	 	 	reversed	1.7	6669	772905	REVERSED.	6	6	1.000	1	2	1	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	1	1	1.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000
117	1	REV_P21675	 	 	 	 	reversed	2.7	1872	212675	REVERSED.	3	1	0.333	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.500	0.000
118	1	REV_P21980	 	 	 	 	reversed	5.4	687	77328	REVERSED.	53	53	1.000	0	4	7	11	6	1	5	9	8	2	0	4	7	11	6	1	5	9	8	2	0.000	4.000	7.000	11.000	6.000	1.000	5.000	9.000	8.000	2.000
119	1	REV_P22105	 	 	 	 	reversed	1.0	4242	458215	REVERSED.	2	2	1.000	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
120	1	REV_P22570	 	 	 	 	reversed	6.7	491	53836	REVERSED.	31	31	1.000	2	4	5	0	0	1	3	12	2	2	2	4	5	0	0	1	3	12	2	2	2.000	4.000	5.000	0.000	0.000	1.000	3.000	12.000	2.000	2.000
121	1	REV_P22792	 	 	 	 	reversed	8.8	545	60556	REVERSED.	53	53	1.000	6	3	5	5	7	6	4	3	3	11	6	3	5	5	7	6	4	3	3	11	6.000	3.000	5.000	5.000	7.000	6.000	4.000	3.000	3.000	11.000
122	1	REV_P26232	 	 	 	 	reversed	5.8	953	105312	REVERSED.	12	12	1.000	0	1	2	0	1	1	2	3	1	1	0	1	2	0	1	1	2	3	1	1	0.000	1.000	2.000	0.000	1.000	1.000	2.000	3.000	1.000	1.000
123	1	REV_P28562	 	 	 	 	reversed	6.5	367	39297	REVERSED.	4	4	1.000	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	2	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	2.000
124	1	REV_P28749	 	 	 	 	reversed	2.5	1068	120846	REVERSED.	51	51	1.000	8	11	4	0	2	7	10	6	0	3	8	11	4	0	2	7	10	6	0	3	8.000	11.000	4.000	0.000	2.000	7.000	10.000	6.000	0.000	3.000
125	1	REV_P29376	 	 	 	 	reversed	4.9	864	91680	REVERSED.	2	2	1.000	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
126	1	REV_P29508	 	 	 	 	reversed	17.7	390	44564	REVERSED.	4	4	1.000	0	2	1	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0.000	2.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
127	1	REV_P30414	 	 	 	 	reversed	3.0	1462	165675	REVERSED.	20	20	1.000	2	0	3	4	3	0	0	1	0	7	2	0	3	4	3	0	0	1	0	7	2.000	0.000	3.000	4.000	3.000	0.000	0.000	1.000	0.000	7.000
128	1	REV_P30622	 	 	 	 	reversed	2.6	1438	162244	REVERSED.	15	15	1.000	1	2	4	1	0	1	0	2	4	0	1	2	4	1	0	1	0	2	4	0	1.000	2.000	4.000	1.000	0.000	1.000	0.000	2.000	4.000	0.000
129	1	REV_P33261	 	 	 	 	reversed	6.7	490	55930	REVERSED.	2	2	1.000	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
130	1	REV_P35579	 	 	 	 	reversed	3.7	1960	226530	REVERSED.	8	8	1.000	1	1	1	0	2	1	0	0	2	0	1	1	1	0	2	1	0	0	2	0	1.000	1.000	1.000	0.000	2.000	1.000	0.000	0.000	2.000	0.000
131	1	REV_P35580	 	 	 	 	reversed	3.3	1976	228996	REVERSED.	5	5	1.000	0	2	0	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0	1	1	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	1.000
132	1	REV_P36551	 	 	 	 	reversed	15.0	454	50151	REVERSED.	5	5	1.000	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	1	0	0	3	0	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	3.000	0.000
133	1	REV_P36955	 	 	 	 	reversed	15.8	418	46312	REVERSED.	5	5	1.000	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	2	1	1	1	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000	1.000	1.000
134	1	REV_P39060	 	 	 	 	reversed	5.5	1754	178185	REVERSED.	4	4	1.000	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	2	0	0	1.000	0.000	0.000	0.000	0.000	0.000	1.000	2.000	0.000	0.000
135	1	REV_P40123	 	 	 	 	reversed	10.9	477	52823	REVERSED.	2	2	1.000	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000
136	1	REV_P41091 (+1)	REV_P41091&REV_Q2VIR3	 	 	 	reversed	14.6	472	51109	REVERSED.	8	8	1.000	0	0	1	0	1	0	1	2	3	0	0	0	1	0	1	0	1	2	3	0	0.000	0.000	1.000	0.000	1.000	0.000	1.000	2.000	3.000	0.000
137	1	REV_P41594	 	 	 	 	reversed	2.3	1212	132468	REVERSED.	2	1	0.500	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000
138	1	REV_P42704	 	 	 	 	reversed	2.2	1394	157903	REVERSED.	2	2	1.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000
139	1	REV_P46013	 	 	 	 	reversed	3.2	3256	358689	REVERSED.	5	5	1.000	0	0	1	0	0	0	1	0	1	2	0	0	1	0	0	0	1	0	1	2	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	2.000
140	1	REV_P46100	 	 	 	 	reversed	4.2	2492	282583	REVERSED.	8	8	1.000	0	0	0	0	3	1	2	0	1	1	0	0	0	0	3	1	2	0	1	1	0.000	0.000	0.000	0.000	3.000	1.000	2.000	0.000	1.000	1.000
141	1	REV_P46939	 	 	 	 	reversed	1.7	3433	394462	REVERSED.	5	5	1.000	1	0	2	0	0	0	2	0	0	0	1	0	2	0	0	0	2	0	0	0	1.000	0.000	2.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
142	1	REV_P48163	 	 	 	 	reversed	6.6	572	64149	REVERSED.	2	2	1.000	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
143	1	REV_P49454	 	 	 	 	reversed	2.2	3210	367760	REVERSED.	7	5	0.714	1	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	2	2	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	2.000
144	1	REV_P49736	 	 	 	 	reversed	6.0	904	101895	REVERSED.	3	3	1.000	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0.000	0.000	0.000	2.000	0.000	0.000	1.000	0.000	0.000	0.000
145	1	REV_P50748	 	 	 	 	reversed	6.7	2209	250746	REVERSED.	9	9	1.000	0	1	0	3	1	0	0	0	4	0	0	1	0	3	1	0	0	0	4	0	0.000	1.000	0.000	3.000	1.000	0.000	0.000	0.000	4.000	0.000
146	1	REV_P51531	 	 	 	 	reversed	2.9	1590	181277	REVERSED.	5	5	1.000	1	0	1	0	1	0	0	0	0	2	1	0	1	0	1	0	0	0	0	2	1.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	2.000
147	1	REV_P51854	 	 	 	 	reversed	5.9	596	65333	REVERSED.	23	23	1.000	3	2	4	3	4	0	1	1	3	2	3	2	4	3	4	0	1	1	3	2	3.000	2.000	4.000	3.000	4.000	0.000	1.000	1.000	3.000	2.000
148	1	REV_P52888	 	 	 	 	reversed	6.8	689	78839	REVERSED.	8	8	1.000	0	0	0	3	0	0	0	0	5	0	0	0	0	3	0	0	0	0	5	0	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	5.000	0.000
149	1	REV_P54289	 	 	 	 	reversed	2.2	1103	124567	REVERSED.	5	5	1.000	0	1	3	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0.000	1.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
150	1	REV_P55196	 	 	 	 	reversed	1.5	1824	206802	REVERSED.	7	7	1.000	0	0	1	0	0	0	1	1	4	0	0	0	1	0	0	0	1	1	4	0	0.000	0.000	1.000	0.000	0.000	0.000	1.000	1.000	4.000	0.000
151	1	REV_P57737	 	 	 	 	reversed	5.0	925	100604	REVERSED.	14	14	1.000	1	0	4	0	1	3	2	3	0	0	1	0	4	0	1	3	2	3	0	0	1.000	0.000	4.000	0.000	1.000	3.000	2.000	3.000	0.000	0.000
152	1	REV_P78509	 	 	 	 	reversed	1.6	3460	388383	REVERSED.	19	19	1.000	2	0	3	0	4	1	1	2	3	3	2	0	3	0	4	1	1	2	3	3	2.000	0.000	3.000	0.000	4.000	1.000	1.000	2.000	3.000	3.000
153	1	REV_P78527	 	 	 	 	reversed	1.4	4128	469084	REVERSED.	16	16	1.000	2	2	0	1	2	0	5	1	1	2	2	2	0	1	2	0	5	1	1	2	2.000	2.000	0.000	1.000	2.000	0.000	5.000	1.000	1.000	2.000
154	1	REV_P78559	 	 	 	 	reversed	1.2	2803	305481	REVERSED.	30	30	1.000	1	2	5	7	4	0	1	0	5	5	1	2	5	7	4	0	1	0	5	5	1.000	2.000	5.000	7.000	4.000	0.000	1.000	0.000	5.000	5.000
155	1	REV_P80192	 	 	 	 	reversed	3.7	1104	121893	REVERSED.	6	6	1.000	2	0	0	0	1	0	0	0	0	3	2	0	0	0	1	0	0	0	0	3	2.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	3.000
156	1	REV_P82094	 	 	 	 	reversed	3.7	1093	122840	REVERSED.	4	4	1.000	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0.000	2.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000
157	1	REV_P98160	 	 	 	 	reversed	3.6	4391	468825	REVERSED.	7	7	1.000	0	2	1	0	0	1	1	1	1	0	0	2	1	0	0	1	1	1	1	0	0.000	2.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000
158	1	REV_P98161	 	 	 	 	reversed	2.2	4303	462524	REVERSED.	5	5	1.000	1	0	1	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	1	2	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	2.000
159	1	REV_Q00722	 	 	 	 	reversed	2.8	1185	134023	REVERSED.	3	3	1.000	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000
160	1	REV_Q01082	 	 	 	 	reversed	2.2	2364	274606	REVERSED.	3	3	1.000	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000
161	1	REV_Q01484	 	 	 	 	reversed	1.4	3957	433710	REVERSED.	7	7	1.000	0	1	3	0	2	0	1	0	0	0	0	1	3	0	2	0	1	0	0	0	0.000	1.000	3.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000
162	1	REV_Q02156	 	 	 	 	reversed	4.6	737	83673	REVERSED.	2	2	1.000	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
163	1	REV_Q02224	 	 	 	 	reversed	2.3	2701	316412	REVERSED.	7	7	1.000	4	0	0	0	1	0	1	0	0	1	4	0	0	0	1	0	1	0	0	1	4.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000
164	1	REV_Q02246	 	 	 	 	reversed	5.5	1040	113392	REVERSED.	4	4	1.000	3	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	3.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
165	1	REV_Q02413	 	 	 	 	reversed	5.1	1049	113746	REVERSED.	8	8	1.000	2	0	0	0	0	3	0	2	1	0	2	0	0	0	0	3	0	2	1	0	2.000	0.000	0.000	0.000	0.000	3.000	0.000	2.000	1.000	0.000
166	1	REV_Q03001	 	 	 	 	reversed	2.4	7570	860652	REVERSED.	11	11	1.000	1	1	2	0	2	1	0	2	0	2	1	1	2	0	2	1	0	2	0	2	1.000	1.000	2.000	0.000	2.000	1.000	0.000	2.000	0.000	2.000
167	1	REV_Q08379	 	 	 	 	reversed	5.6	1002	113085	REVERSED.	4	4	1.000	0	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	2	0	0	0	0.000	0.000	1.000	0.000	1.000	0.000	2.000	0.000	0.000	0.000
168	1	REV_Q08AE8	 	 	 	 	reversed	6.0	756	85543	REVERSED.	4	4	1.000	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	1	2	0	0	0.000	0.000	0.000	0.000	0.000	1.000	1.000	2.000	0.000	0.000
169	1	REV_Q08AM6	 	 	 	 	reversed	7.9	782	87972	REVERSED.	2	2	1.000	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000
170	1	REV_Q09666	 	 	 	 	reversed	6.8	5890	629094	REVERSED.	35	35	1.000	4	2	1	3	4	6	9	1	2	3	4	2	1	3	4	6	9	1	2	3	4.000	2.000	1.000	3.000	4.000	6.000	9.000	1.000	2.000	3.000
171	1	REV_Q0JRZ9	 	 	 	 	reversed	2.8	810	88923	REVERSED.	7	7	1.000	1	0	0	0	1	3	0	0	2	0	1	0	0	0	1	3	0	0	2	0	1.000	0.000	0.000	0.000	1.000	3.000	0.000	0.000	2.000	0.000
172	1	REV_Q0VDD8	 	 	 	 	reversed	1.4	3507	399890	REVERSED.	10	10	1.000	0	4	1	0	0	1	2	2	0	0	0	4	1	0	0	1	2	2	0	0	0.000	4.000	1.000	0.000	0.000	1.000	2.000	2.000	0.000	0.000
173	1	REV_Q0VDG4	 	 	 	 	reversed	8.0	424	48544	REVERSED.	118	118	1.000	8	17	15	10	10	15	16	11	6	10	8	17	15	10	10	15	16	11	6	10	8.000	17.000	15.000	10.000	10.000	15.000	16.000	11.000	6.000	10.000
174	1	REV_Q11203	 	 	 	 	reversed	4.5	375	42170	REVERSED.	9	9	1.000	2	0	4	0	0	1	1	1	0	0	2	0	4	0	0	1	1	1	0	0	2.000	0.000	4.000	0.000	0.000	1.000	1.000	1.000	0.000	0.000
175	1	REV_Q12789	 	 	 	 	reversed	3.5	2109	238872	REVERSED.	12	12	1.000	0	2	2	1	1	1	1	3	1	0	0	2	2	1	1	1	1	3	1	0	0.000	2.000	2.000	1.000	1.000	1.000	1.000	3.000	1.000	0.000
176	1	REV_Q12802	 	 	 	 	reversed	4.4	2813	307547	REVERSED.	13	13	1.000	0	4	0	1	3	1	0	1	1	2	0	4	0	1	3	1	0	1	1	2	0.000	4.000	0.000	1.000	3.000	1.000	0.000	1.000	1.000	2.000
177	1	REV_Q12830	 	 	 	 	reversed	4.3	3046	338259	REVERSED.	10	10	1.000	1	0	0	0	2	3	0	1	1	2	1	0	0	0	2	3	0	1	1	2	1.000	0.000	0.000	0.000	2.000	3.000	0.000	1.000	1.000	2.000
178	1	REV_Q12864	 	 	 	 	reversed	6.0	832	92218	REVERSED.	2	2	1.000	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
179	1	REV_Q12887	 	 	 	 	reversed	8.4	443	48910	REVERSED.	25	25	1.000	1	3	4	4	0	2	2	6	1	2	1	3	4	4	0	2	2	6	1	2	1.000	3.000	4.000	4.000	0.000	2.000	2.000	6.000	1.000	2.000
180	1	REV_Q12955	 	 	 	 	reversed	2.1	4377	480404	REVERSED.	6	6	1.000	1	1	0	1	0	0	1	0	2	0	1	1	0	1	0	0	1	0	2	0	1.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	2.000	0.000
181	1	REV_Q12959	 	 	 	 	reversed	5.0	904	100454	REVERSED.	5	1	0.200	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0.000	1.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000
182	1	REV_Q12965	 	 	 	 	reversed	4.7	1108	127060	REVERSED.	3	3	1.000	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
183	1	REV_Q13042	 	 	 	 	reversed	5.3	620	71655	REVERSED.	7	7	1.000	0	0	1	0	4	0	0	0	1	1	0	0	1	0	4	0	0	0	1	1	0.000	0.000	1.000	0.000	4.000	0.000	0.000	0.000	1.000	1.000
184	1	REV_Q13107	 	 	 	 	reversed	3.5	963	108564	REVERSED.	7	7	1.000	0	3	0	2	0	0	1	1	0	0	0	3	0	2	0	0	1	1	0	0	0.000	3.000	0.000	2.000	0.000	0.000	1.000	1.000	0.000	0.000
185	1	REV_Q13112	 	 	 	 	reversed	9.8	559	61492	REVERSED.	3	3	1.000	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0.000	0.000	0.000	0.000	1.000	2.000	0.000	0.000	0.000	0.000
186	1	REV_Q13201	 	 	 	 	reversed	2.4	1228	138109	REVERSED.	7	7	1.000	0	0	3	2	0	0	0	1	1	0	0	0	3	2	0	0	0	1	1	0	0.000	0.000	3.000	2.000	0.000	0.000	0.000	1.000	1.000	0.000
187	1	REV_Q13233	 	 	 	 	reversed	2.6	1512	164468	REVERSED.	3	3	1.000	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
188	1	REV_Q13303	 	 	 	 	reversed	9.0	367	41000	REVERSED.	2	2	1.000	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000
189	1	REV_Q13371	 	 	 	 	reversed	23.3	301	34281	REVERSED.	3	3	1.000	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0.000	0.000	1.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
190	1	REV_Q13428	 	 	 	 	reversed	7.3	1488	152104	REVERSED.	5	5	1.000	1	3	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	1	0	1.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
191	1	REV_Q13459	 	 	 	 	reversed	2.7	2157	243398	REVERSED.	11	11	1.000	0	1	2	0	3	0	1	2	1	1	0	1	2	0	3	0	1	2	1	1	0.000	1.000	2.000	0.000	3.000	0.000	1.000	2.000	1.000	1.000
192	1	REV_Q13464	 	 	 	 	reversed	2.1	1354	158173	REVERSED.	2	1	0.500	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000
